"","Timepoint","Tank.Number","Treatment","meanCs_Activity","meanTotalProtein_ug_mL","meanCs_Activity_ug_protein","Temperature"
"1",1,4,"Ambient",0.00660812425328555,2668.64334432642,4.95242218660244e-05,"22_t1"
"2",1,5,"Ambient",0.00303942652329749,1215.76304279415,0.000100010032297803,"22_t1"
"3",1,7,"Ambient",0.00834408602150538,673.499694693717,0.000495735794070664,"22_t1"
"4",1,11,"Heated",0.0018936678614098,316.738960459031,0.000120686862697971,"22"
"5",1,12,"Heated",0.000623655913978495,1682.42653983298,1.48353311262705e-05,"22"
"6",1,13,"Heated",0.014179211469534,2126.17097678297,0.000266866213861842,"22"
"7",1,14,"Heated",0.0123966547192354,2947.28870983307,0.00016825280767332,"22"
"8",2,4,"Ambient",0.00165591397849462,624.922040468008,5.30162585098865e-05,"22_t2"
"9",2,5,"Ambient",0.0117371565113501,4278.84707826791,0.000109741865594637,"22_t2"
"10",2,6,"Ambient",0.0110919952210275,2345.11540470609,0.000189193166336607,"22_t2"
"11",2,11,"Heated",0.00323058542413381,1297.34360754262,4.98030807775447e-05,"26"
"12",2,12,"Heated",0.00747431302270012,1755.1818562666,0.00017034748344366,"26"
"13",2,13,"Heated",0.0107335722819594,1671.04427697932,0.000256944649096564,"26"
"14",2,14,"Heated",0.0173381123058542,1057.02821318163,0.000656138293274032,"26"
"15",3,4,"Ambient",0.00528076463560335,1294.85188289023,8.37563941621785e-05,"22_t3"
"16",3,5,"Ambient",0.0014778972520908,981.277198979595,3.01219115990391e-05,"22_t3"
"17",3,6,"Ambient",0.00994504181600956,1814.98386589744,0.000219179420334848,"22_t3"
"18",3,7,"Ambient",0.0165878136200717,3875.73878315346,0.000171196404589219,"22_t3"
"19",3,11,"Heated",0.00719115890083632,3211.18770405796,4.48397890440347e-05,"30"
"20",3,13,"Heated",0.00932377538829152,1954.93171331778,0.000190951679563792,"30"
"21",3,14,"Heated",0.0181194743130227,2960.47425337389,0.000244870411601219,"30"
"22",4,4,"Ambient",0.00449820788530466,2681.30957014101,3.36993430628274e-05,"22_t4"
"23",4,5,"Ambient",0.0051063321385902,3138.33661712468,3.2541647130693e-05,"22_t4"
"24",4,6,"Ambient",0.00994504181600956,2504.54868989697,0.000164253493372102,"22_t4"
"25",4,7,"Ambient",0.0134432497013142,2558.09162737812,0.000210287935180901,"22_t4"
"26",4,11,"Heated",0.00593787335722819,2305.28903659235,5.15158416172156e-05,"34"
"27",4,12,"Heated",0.00637753882915173,2277.33786496975,5.6008719015757e-05,"34"
"28",4,13,"Heated",0.00425806451612903,2265.687388269,7.52059180562327e-05,"34"
"29",5,4,"Ambient",0.001389486260454,1195.96980737623,2.32361427836095e-05,"22_t5"
"30",5,5,"Ambient",0.00253046594982079,5446.26937616662,1.26393346630156e-05,"22_t5"
"31",5,6,"Ambient",0.00285065710872162,2142.62302736331,5.32249974100919e-05,"22_t5"
"32",5,7,"Ambient",0.00623178016726404,3156.61038860598,7.91470042712381e-05,"22_t5"
"33",5,13,"Heated",0.00772043010752688,1206.34901420629,0.000256017378848147,"36"
"34",5,14,"Heated",0.00462007168458781,2105.12644978546,8.78139565563474e-05,"36"
"35",1,2,"Ambient",0.00626811594202899,1080.04854472546,0.000116071003894038,"22_t1"
"36",1,8,"Heated",0.00273731884057971,1598.75492154948,3.42431326238141e-05,"22"
"37",1,9,"Heated",0.0124963768115942,783.179176290716,0.0003232588669268,"22"
"38",1,10,"Heated",0.0162518115942029,2043.01310043668,0.000236667348168387,"22"
"39",2,1,"Ambient",0.00143115942028986,710.073890290336,4.05167295907797e-05,"22_t2"
"40",2,3,"Ambient",0.00684782608695652,1643.5026169287,8.38962773208369e-05,"22_t2"
"41",2,9,"Heated",0.00317572463768116,218.768290697648,0.000306741047354451,"26"
"42",2,10,"Heated",0.00163224637681159,640.056063099302,5.1013081656095e-05,"26"
"43",3,2,"Ambient",0.0122210144927536,2250.2232261317,0.000111811189322821,"22_t3"
"44",3,9,"Heated",0.00594202898550725,1322.32397010538,8.98725141469488e-05,"30"
"45",3,10,"Heated",0.00479710144927536,637.670054016901,0.000150462102198825,"30"
"46",4,1,"Ambient",0.00705434782608696,1783.05001737816,7.93549995476451e-05,"22_t4"
"47",4,3,"Ambient",0.00273731884057971,765.521577767436,7.15151321681308e-05,"22_t4"
"48",4,9,"Heated",0.00176268115942029,519.877897108503,6.78113522126679e-05,"34"
"49",5,1,"Ambient",0.0149583333333333,2855.6768558952,0.000104762086805821,"22_t5"
"50",5,3,"Ambient",0.00382246376811594,1479.57754757564,5.1761558296518e-05,"22_t5"
"51",5,8,"Heated",0.00304166666666667,2365.17467248908,2.58688547540828e-05,"36"
"52",5,10,"Heated",0.00104528985507246,701.327750679589,2.98088833376285e-05,"36"
